price,sqft_living
1249000,6209
220000,1422
1250000,5614
599900,2785
986950,3449
182500,709
222500,658
599900,2952
795000,3715
1150000,3502
941950,3258
725000,3944
738069,2945
258250,863
350000,1214
825000,4862
695000,4113
647042,2016
654900,2988
825000,3687
599900,2974
1100000,4341
1078950,3902
299000,956
1895000,6740
275000,956
644900,3584
494900,1541
688063,3049
941950,2704
1525720,4307
865000,1659
579164,2853
1657540,4299
875000,3543
991950,2871
415000,1626
899000,4620
1024950,2871
925000,2087
412164,2304
933950,2672
550000,3742
1040950,2988
891950,2988
701000,35719.2
238000,891
599555,3770
1910991,5512
900000,4263
867449,2909
1500000,2613.6
599950,3022
359000,1222
1300000,4952
215000,896
518000,3402
999800,5273
1124950,3258
875000,3307
850000,4147
1470000,5292
661559,3049
715000,3593
524900,2334
677544,2641
